accepted_taxon,population_id,country_region,flower_colour_state,flower_colour_evidence_n,existing_backbone,backbone_tip_present,nuclear_data_available,plastid_data_available,node_support_status,nuclear_plastid_conflict,ploidy_status,hybridization_or_reticulation_suspected,transition_critical,transition_information_score,phylogeny_gap_score,reticulation_ploidy_score,geographic_backbone_score,replication_need_score,radseq_tier,priority_total,priority_rationale,notes
Cirsium brevicaule,,Ryukyu,white,,Chang_2026,true,true,,,unknown,2n=34,false,true,2,0,1,2,2,A,7,"Species placement resolved; prioritize multi-population RAD-seq for white-lineage history and gene flow",PRJNA1311153
Cirsium irumtiense,,Ryukyu,bluish-purple,,Chang_2026,true,true,,,unknown,2n=34,false,true,2,0,1,2,2,A,7,"Species placement resolved; prioritize population structure and gene-flow tests for transition direction",PRJNA1311153
Cirsium japonicum var. albescens,,Taiwan,white,,Chang_2026,true,true,,,unknown,2n=34,false,true,2,0,1,2,2,A,7,"Fixed-white sister of polymorphic takaoense; replicate populations and compare causal haplotypes",PRJNA1311153
Cirsium japonicum var. takaoense,,Taiwan,polymorphic,,Chang_2026,true,true,,,reticulation_or_ILS_reported,2n=34,true,true,2,0,2,2,2,A,8,"Highest-information within-lineage system; pair white and bluish-purple individuals/populations",PRJNA1311153
Cirsium japonicum var. australe,,Taiwan,bluish-purple,,Chang_2026,true,true,,,unknown,2n=34,true,false,1,0,1,1,1,C,4,"Existing nuclear placement; use as coloured flanking control unless atlas reveals additional transition",PRJNA1311153
Cirsium japonicum var. fukienense,,Taiwan_Fujian,purple_variable,,Chang_2026,true,true,,,unknown,2n=34,true,true,2,0,1,2,2,A,7,"Cross-strait and colour-variable lineage; population sampling can distinguish polymorphism/introgression histories",PRJNA1311153
Cirsium pengii,,Taiwan,unknown,,Chang_2025,true,true,,,unknown,2n=32,false,false,0,0,2,1,1,C,4,"Existing diploid Nipponocirsium anchor; elevate only if colour atlas shows informative state",PRJNA1158676
Cirsium kawakamii,,Taiwan,unknown,,Chang_2025,true,true,,,unknown,2n=4x=64,false,false,0,0,2,1,1,C,4,"Existing tetraploid anchor; useful for ploidy-aware pipeline",PRJNA1158676
Cirsium tatakaense,,Taiwan,unknown,,Chang_2025,true,true,,,intraspecific_conflict_reported,2n=4x=64,true,false,0,0,2,1,2,C,5,"Existing nuclear placement but internal conflict; elevate if flower-colour variation is found",PRJNA1158676
Cirsium suffultum,,Japan,unknown,,Chang_2025,true,true,,,unknown,2n=4x=68,false,false,0,0,2,1,2,C,5,"Single published individual; replication useful but not transition-critical yet",PRJNA1158676
Cirsium nipponicum var. incomptum,,Japan,unknown,,Chang_2025,true,true,,,unknown,2n=4x=68,false,false,0,0,2,1,2,C,5,"Single published individual; replication useful but not transition-critical yet",PRJNA1158676
Cirsium kujuense,,Japan,unknown,,Chang_2025,true,true,,,unknown,2n=4x=68,false,false,0,0,2,1,2,C,5,"Single published individual; replication useful but not transition-critical yet",PRJNA1158676
