analysis_id,evidence_or_program,current_status,question_answered,relation_to_chapter2_time_axis,destination,main_or_supplement,decision_rationale,next_action
D01,japan38_comp1061_primary_tree,canonical,"What is the accepted nuclear ancestry scaffold for Japan38?",direct_core,Chapter_2,main,"Required to place phenotype on evolutionary history; 236 QC loci/176 rootable loci/1000 UFBoot; branch lengths substitutions/site",retain_as_primary_tree
D02,japan_cirsium_origin_meta_analysis,canonical,"How many broad colonization histories produced the Japanese flora?",direct_context,Chapter_2,main_plus_supplement,"Defines one dominant radiation plus rare exceptions and supplies historical context without replacing the focal tree",main_one_paragraph_plus_supp_evidence_table
D03,japan_radiation_pretree_phenotype_disparity,canonical_coverage_limited,"Is phenotype disparity already large within the dominant radiation?",direct_opening_result,Chapter_2,main,"Motivates how large disparity arose within a shallow radiation; not itself a rate estimate",retain_with_coverage_boundary
D04,orientation_repeated_history,canonical,"How many minimum orientation changes are required?",direct_core,Chapter_2,main,"20 resolved; ML6; UFBoot4-6; strong recurrence lower bound",retain_and_add_continuous_orientation_analysis
D05,phyllary_posture_repeated_history,canonical,"How many phyllary-posture changes are required?",direct_core,Chapter_2,main,"10 resolved; exactly3 on all 1000 UFBoot trees",retain
D06,stickiness_repeated_history_JPN24,canonical,"How many stickiness changes are required?",direct_core,Chapter_2,main,"13 resolved; ML5; all 1000 UFBoot trees exactly5",retain
D07,three_module_transition_overlap,canonical_but_needs_latest_recompute,"Do resolved discrete traits share one transition history?",direct_core,Chapter_2,main,"Existing result weakens one shared whole-capitulum lability, but predates final JPN34/JPN24 coverage",recompute_before_manuscript_freeze
D08,continuous_colour_phylogenetic_pilot,canonical,"Can continuous phenotype be analysed historically without categories?",direct_method_and_negative_control,Chapter_2,main_or_main_small_panel,"Shows trait-specific phylogenetic structure across lightness/chroma/hue and demonstrates continuous-history method",retain_with_Japan7_replication
D09,japan7_source_balanced_lightness_replication,canonical_negative,"Does the global/high-depth lightness history replicate in a balanced Japanese panel?",direct_negative_control,Chapter_2,main_small_panel_or_supp,"Prevents universal convergence story and demonstrates evidence-scale dependence",retain_as_negative_control
D10,all_18_continuous_trait_history,active_compute,"How do all Azami continuous endpoints map onto Japan38 ancestry?",missing_core,Chapter_2,main,"This is the largest missing symmetry with Chapter1 and should become the central new analysis",complete_bridge_then_phylogenetic_signal_and_branch_change
D11,absolute_time_chronos_PR92,blocked_nonmergeable,"Can Japan38 support absolute Ma transition timing?",limitation_not_core,Chapter_2,supplement,"Current focal tree is substitutions/site and accepted absolute-time calibration is insufficient; useful as fail-closed calibration audit",summarize_block_and_do_not_force_chronogram
D12,FDT3_cross_plant_repeated_evolution_synthesis,planned_not_final,"Do similar ecological shifts accompany repeated reproductive-trait evolution across plants?",comparative_benchmark_only,Chapter_2,supplement_if_completed,"Useful external benchmark but not needed to establish Cirsium phenotype history",do_not_delay_chapter2_for_meta_completion
D13,FDT1_trait_to_function_meta,canonical_partial_and_planned_extensions,"What functions and fitness stages are altered by reproductive traits?",not_core_time_axis,Next_function_chapter,main,"Answers phenotype × function rather than phenotype × time; strong material should not be buried in Chapter2 supplement",move_herbivory_orientation_display_stickiness_evidence_to_function_chapter
D14,Cirsium_reproductive_herbivory_meta_RR2_674,canonical,"Do reproductive antagonists impose a fitness cost?",not_core_time_axis,Next_function_chapter,main,"Strong causal-channel result but does not establish trait history",retain_as_function_chapter_anchor
D15,multiagent_selection_mosaic_meta,canonical_working,"Is pollinator or antagonist dominance universal?",not_core_time_axis,Next_function_chapter,main_or_supp,"Explains why functional effects may vary locally; belongs to why/function chapter",move_out_of_chapter2_main
D16,selection_leverage_meta,canonical_negative,"Do broad functional classes predict selection strength?",not_core_time_axis,Next_function_chapter,supplement_or_secondary_result,"Useful negative result for function chapter; no phylogenetic-history estimand",move
D17,demographic_transmission_meta,canonical,"When do seed-level costs transmit to recruitment/demography?",not_core_time_axis,Next_function_chapter,supplement,"Downstream fitness interpretation; not needed for phenotype history",move
D18,display_tradeoff_meta,canonical_working,"Can display increase both mutualist and antagonist exposure?",not_core_time_axis,Next_function_chapter,main_or_supp,"Direct functional ecology rather than history",move
D19,current_v3_1_mechanism_generator_screen,canonical,"Can simple present-state biological driver generators reproduce Azami covariance targets?",not_evolutionary_time,Chapter_1,supplement,"Uses present within/among phenotype targets and no phylogenetic transition history; belongs with Chapter1 structural robustness",route_to_ch1_supp_or_thesis_methods
D20,NULL_COUPLED_scalar_screen_PR119,canonical,"Can a null-like covariance generator reproduce the 62 scalar present-state targets?",not_evolutionary_time,Chapter_1,supplement,"Important non-identifiability result for present-state compression but not Chapter2 time history",route_to_ch1_supp
D21,NULL_COUPLED_heldout_failure_PR120,canonical,"Does the scalar winner reproduce held-out within/among support geometry?",not_evolutionary_time,Chapter_1,supplement,"Strengthens Chapter1 scale-structure result; no phylogenetic axis",route_to_ch1_supp
D22,among_only_process_diagnostic_PR123,canonical,"What scale-specific process structure improves present-state fit?",not_evolutionary_time,Chapter_1,supplement,"Diagnostic of among-vs-within covariance architecture rather than historical transitions",route_to_ch1_supp
D23,scale_specific_covariance_v4_1_PR122,provisional_unmerged,"Which covariance architecture first passes the seven-target adequacy screen?",not_evolutionary_time,Chapter_1_or_thesis_synthesis,supplement_only_if_independently_validated,"Potentially useful structural result but currently draft/provisional and should not enter Chapter2",keep_draft_until_heldout_validation
D24,FDT2_geographic_function_meta_regression,planned,"Where are functional benefits/costs strongest?",post_history_explanation,Next_function_chapter,main_or_future,"Links environment to function rather than establishing history",defer
D25,FDT4_trait_niche_history,planned,"Are trait transitions coupled to niche shifts?",post_core_history_extension,Next_explanatory_chapter_or_Chapter2_extension,future,"Requires reliable trait histories first; can explain why histories occurred but should not block core Chapter2",run_after_continuous_history_is_frozen
D26,FDT5_functional_disparity_through_time,planned,"When did functional space expand or reoccupy?",not_same_as_phenotypic_DTT,Next_function_chapter,future,"Depends literature-derived functional loadings; Chapter2 should first estimate phenotype disparity through time without function assumptions",separate_phenotypic_DTT_from_future_functional_DTT
D27,FDT6_ecological_event_correspondence,planned_and_absolute_time_blocked,"Do transitions cluster around ecological opportunity events?",post_core_history_explanation,Next_explanatory_chapter_or_later_supp,future,"Needs dated transition history; currently calibration blocked",defer_until_chronogram_defensible
D28,FDT7_evolutionary_simulation_M0_M5,planned_not_current_v3_v4,"Which evolutionary histories reproduce observed trait/niche patterns?",potential_future_time_axis_model,Chapter_2_supp_or_thesis_synthesis,future,"Unlike current covariance simulations this could become true history-model discrimination, but only after empirical histories are frozen",do_not_confuse_with_current_v3_v4_simulations
D29,FDT8_experiment_reverse_engineering,planned,"Which focal systems maximally discriminate mechanisms?",downstream_design,Next_empirical_chapter,main_design,"Uses Chapter2 history to choose causal experiments",defer_until_history_results_stable
D30,nuclear_population_plus_plastid_plus_cytotype_gate,planned,"Are repeated states retained, independently arisen, sorted or introgressed?",direct_origin_extension,Next_empirical_history_chapter_or_Chapter2_future_extension,future,"Important for origin but not required for bounded phenotype-history paper",do_not_delay_current_chapter2
