paper_japan_member_id,paper_taxon_concept,nmns_taxon_concept,authority_match_status,orientation_state,phyllary_posture,stickiness_state,source_scope,source_url,claim_boundary
JPN_02,Cirsium aidzuense,Cirsium aidzuense,exact_authority_concept_match,upward_or_erect,appressed_or_ascending,sticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=1,"authority categorical state; not individual measurement or ASR"
JPN_03,Cirsium alpicola,Cirsium alpicola,exact_authority_concept_match,upward_or_erect,ascending,nonsticky_or_nearly_nonsticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=145,"authority categorical state; not individual measurement or ASR"
JPN_04,Cirsium amplexifolium,Cirsium amplexifolium,exact_authority_concept_match,upward_or_erect,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_05,Cirsium aomorense,Cirsium aomorense,exact_authority_concept_match,upward_or_erect,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_06,Cirsium dipsacolepis,Cirsium dipsacolepis,exact_authority_concept_match,upward_or_erect,spreading_or_recurved,nonsticky_or_nearly_nonsticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=151,"authority categorical state; not individual measurement or ASR"
JPN_07,Cirsium domonii,Cirsium domonii,exact_authority_concept_match,upward_or_erect,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_09,Cirsium gyojanum,Cirsium gyojanum,exact_authority_concept_match,upward_or_erect,ascending,sticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=49,"authority categorical state; not individual measurement or ASR"
JPN_12,Cirsium japonicum var. horridum,Cirsium japonicum var. horridum,exact_authority_concept_match,unknown,ascending,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"exact variety state where explicitly named; not broad C. japonicum substitution"
JPN_13,Cirsium kasaianum,Cirsium kasaianum,exact_authority_concept_match,downward_or_nodding,spreading,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_15,Cirsium lineare,Cirsium lineare,exact_authority_concept_match,upward_or_erect,unknown,sticky,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_17,Cirsium maritimum,Cirsium maritimum,exact_authority_concept_match,source_conflict_index_downward_detail_erect,appressed_or_ascending,nonsticky_or_nearly_nonsticky,detail_plus_index_conflict,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=126,"orientation conflict retained; exclude from primary categorical orientation analysis until reviewed"
JPN_19,Cirsium nippoense,Cirsium nippoense,exact_authority_concept_match,upward_or_erect,ascending_or_recurved,sticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=110,"authority categorical state; not individual measurement or ASR"
JPN_22,Cirsium norikurense,Cirsium norikurense,exact_authority_concept_match,downward_or_nodding,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_23,Cirsium oligophyllum,Cirsium oligophyllum,exact_authority_concept_match,upward_or_erect,unknown,nonsticky_or_nearly_nonsticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=115,"authority categorical state; not individual measurement or ASR"
JPN_26,Cirsium spicatum,Cirsium spicatum,exact_authority_concept_match,unknown,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index lacks explicit orientation in catchphrase"
JPN_27,Cirsium suzukaense,Cirsium suzukaense,exact_authority_concept_match,upward_or_erect,unknown,sticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=73,"authority categorical state; not individual measurement or ASR"
JPN_30,Cirsium yezoense,Cirsium yezoense,exact_authority_concept_match,downward_or_nodding,ascending,nonsticky_or_nearly_nonsticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=60,"authority categorical state; not individual measurement or ASR"
JPN_32,Cirsium buergeri,Cirsium buergeri,exact_authority_concept_match,upward_or_ascending,unknown,sticky,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_35,Cirsium nipponicum,Cirsium nipponicum,exact_authority_concept_match,upward_or_erect,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"broad species concept only; not assigned to JPN_20/JPN_21 varieties"
JPN_36,Cirsium sieboldii,Cirsium sieboldii,exact_authority_concept_match,downward_or_nodding,appressed,nonsticky_or_nearly_nonsticky,detail_page,https://www.kahaku.go.jp/research/db/botany/azami/detail.html?no=46,"authority detail notes local upright forms and white morph; polymorphism must remain explicit"
JPN_37,Cirsium kamtschaticum,Cirsium kamtschaticum,exact_authority_concept_match,downward_or_nodding,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; not individual measurement or ASR"
JPN_38,Cirsium pendulum,Cirsium pendulum,exact_authority_concept_match,downward_or_nodding,unknown,unknown,index_catchphrase,https://www.kahaku.go.jp/research/db/botany/azami/list.html?word=all,"authority index state; documented white morph remains population-level information"
