analysis_id,epistemic_class,negative_status,chapter_destination,chapter3_migration,reason
D01,CERTAIN_CONDITIONAL_SCAFFOLD,NOT_NEGATIVE,Chapter_2,REFERENCE_ONLY,"Accepted nuclear scaffold conditional on admitted loci and topology contract."
D02,CERTAIN_SOURCE_BACKED_CONTEXT,NOT_NEGATIVE,Chapter_2,REFERENCE_ONLY,"36 of 38 sampled concepts belong to the dominant radiation; this is occupancy context not a diversification rate."
D03,ROUTED_PRESENT_PHENOTYPE_COVERAGE_LIMITED,NOT_NEGATIVE,Chapter_1,DO_NOT_MIGRATE,"Present public-image disparity is not a time-axis event history and is not standalone EAzami primary evidence."
D04,CERTAIN_TOPOLOGY_CONDITIONAL_MINIMUM,NOT_NEGATIVE,Chapter_2,COPY_SUMMARY_AND_FALSIFIER,"Every admitted topology requires at least four orientation changes; exact origins and directions remain unidentified."
D05,CERTAIN_TOPOLOGY_CONDITIONAL_MINIMUM,NOT_NEGATIVE,Chapter_2,COPY_SUMMARY_AND_FALSIFIER,"Every admitted topology requires at least three phyllary-posture changes; exact origins and directions remain unidentified."
D06,CERTAIN_TOPOLOGY_CONDITIONAL_MINIMUM,NOT_NEGATIVE,Chapter_2,COPY_SUMMARY_AND_FALSIFIER,"Every admitted topology requires at least five stickiness changes; exact origins and directions remain unidentified."
D07,NOT_IDENTIFIABLE_CURRENT_RESOLUTION,NOT_A_BIOLOGICAL_NEGATIVE,Chapter_2,COPY_UNCERTAINTY_AND_DISCRIMINATOR,"No pair meets the cross-treatment localization rule but sparse unlinked states cannot establish absence of a shared history."
D08,NOT_IDENTIFIABLE_SOURCE_SCALE,NOT_A_BIOLOGICAL_NEGATIVE,Chapter_2_Supporting,DO_NOT_MIGRATE,"The continuous colour pilot is source and lineage dependent and cannot identify a Japan-wide historical process."
D09,RESTRICTED_REPLICATION_NEGATIVE,NEGATIVE_ONLY_FOR_PREDECLARED_DIRECTION,Chapter_2_Supporting,REFERENCE_ONLY,"The predeclared anti-phylogenetic lightness direction fails in Japan7; the positive sign cannot be promoted post hoc."
D10,NOT_IDENTIFIABLE_CURRENT_COVERAGE,NOT_A_BIOLOGICAL_NEGATIVE,Chapter_2_Supporting,COPY_MEASUREMENT_GAP_ONLY,"The continuous panel has identity and coverage limits; non-detection cannot establish lability or independence."
D11,NOT_EVALUABLE_MISSING_DATED_ENSEMBLE,NO_RESULT,Chapter_2_Supporting,REFERENCE_COMPUTATIONAL_GATE,"Absolute timing and rates are unavailable because the accepted scaffold is substitutions per site."
D12,PLANNED_NOT_FINAL,NO_RESULT,Later_synthesis,DO_NOT_MIGRATE,"The cross-plant event synthesis is not a completed result and cannot support Chapter 2."
