citation_key,year,scale,region,title,doi,evidence_type,markers_or_loci,sampling,principal_inference,known_limit,EAzami_relevance,evidence_tier,data_or_access
GarciaJacas2002,2002,tribe_backbone,global_Cardueae,Tribal and subtribal delimitation and phylogeny of the Cardueae (Asteraceae): a combined nuclear and chloroplast DNA analysis,10.1006/mpev.2001.1038,Sanger_nuclear_plus_plastid,ITS plus plastid regions,broad Cardueae representation,Established an early molecular framework for tribal and subtribal limits but left difficult backbone nodes weakly resolved.,few loci; vulnerable to lineage sorting and organelle history,historical baseline only; not adequate for East Asian colour-state reconstruction,B,publisher/PubMed
Susanna2006,2006,tribe_backbone,global_Cardueae,"The Cardueae (Compositae) revisited: insights from ITS, trnL-trnF, and matK nuclear and chloroplast DNA analysis",10.3417/0026-6493(2006)93[150:TCCRIF]2.0.CO;2,Sanger_nuclear_plus_plastid,ITS; trnL-trnF; matK,tribal representatives,Refined Cardueae relationships and exposed persistent discordance/low support in difficult lineages.,three loci and limited gene-tree representation,useful nomenclatural/history context; superseded for deep nodes by Hyb-Seq,B,journal
HerrandoMoraira2019,2019,tribe_phylogenomics,global_Cardueae,Nuclear and plastid DNA phylogeny of tribe Cardueae (Compositae) with Hyb-Seq data: A new subtribal classification and a temporal diversification framework,10.1016/j.ympev.2019.05.001,HybSeq_nuclear_plus_plastid,Compositae1061 COS targets plus 87 plastid genes,76 Cardueae species,Highly resolved Cardueae backbone and 12-subtribe classification; some cytonuclear discordance persisted.,sparse within Carduus-Cirsium and almost no population replication,best deep backbone/outgroup framework; machine-readable trees are openly archived,A,Mendeley Data 10.17632/bhvv6rmyt6.1
Ackerfield2020Generic,2020,Carduus_Cirsium_generic_limits,global,A prickly puzzle: Generic delimitations in the Carduus-Cirsium group (Compositae: Cardueae: Carduinae),10.1002/tax.12288,multi_locus_nuclear_plus_plastid,ETS; ITS; matK; ndhF; psbA-trnH; trnL-trnF,broad Carduus-Cirsium group,Recovered major clades and offered either a single broad genus or multiple monophyletic genera as taxonomic solutions.,six loci; sparse sampling relative to current phylogenomics,important because accepted names/generic boundaries remain hypothesis-dependent,B,supplementary Nexus alignment available
DelGuacchio2022,2022,generic_limits,western_Palearctic,Towards a monophyletic classification of Cardueae: restoration of the genus Lophiolepis (= Cirsium p.p.) and new circumscription of Epitrachys,10.1080/11263504.2022.2131924,molecular_plus_morphology_taxonomy,representative molecular datasets plus morphology,Cirsium sect. Eriolepis and C. italicum focus,Restored Lophiolepis and segregated Epitrachys to preserve monophyletic generic concepts.,taxonomic conclusion depends on circumscription and incomplete global taxon sampling,requires synonym-aware taxon table and sensitivity to Cirsium s.l. versus segregate genera,B,publisher supplementary/figshare
Moreyra2023,2023,Carduinae_phylogenomics,global_with_Africa_focus,African Mountain Thistles: Three New Genera in the Carduus-Cirsium Group,10.3390/plants12173083,HybSeq_nuclear_plus_plastid,986 nuclear loci and 177 plastid regions after filtering,190 samples; 159 species; all Carduinae genera,"Highly resolved Carduinae tree; recognized Afrocarduus, Afrocirsium and Nuriaea; documented nuclear/coalescent/plastid incongruence.",not designed for dense Cirsium species/population sampling; generic treatment disputed,shows genus-level reticulation/discordance and provides compatible Compositae1061 framework,A,open article and public sequence data
Bures2023Genome,2023,Carduinae_genome_evolution,global_emphasis_Eurasia,"Evolution of genome size and GC content in the tribe Carduinae (Asteraceae): rare descending dysploidy and polyploidy, limited environmental control and strong phylogenetic signal",10.23855/preslia.2023.185,flow_cytometry_plus_seven_marker_phylogeny,seven genetic markers; genome size; GC; chromosomes,119 taxa,Polyploidy was uncommon in sampled Carduinae; genomic and phylogenetic evidence supported Lophiolepis and flagged C. vulgare/C. italicum as problematic.,marker tree rather than phylogenomic species tree; population sampling uneven,strong evidence that ploidy/genome-size metadata must accompany East Asian sampling,B,open Preslia article and appendices
Bures2024Vulgare,2024,hybrid_origin,Europe,Intergeneric hybrid origin of the invasive tetraploid Cirsium vulgare,10.1111/plb.13653,RADseq_plus_organelle_plus_structure,RADseq nuclear and organellar loci,8 C. vulgare; 11 Lophiolepis species; 12 Cirsium species,"Demonstrated allotetraploid Cirsium x Lophiolepis origin, with organelles inherited from Cirsium.",single hybrid taxon and limited representatives; RAD loci not a reusable global backbone,direct warning that one bifurcating tree and plastid genealogy can misrepresent flower-colour allele history,A,PubMed/publisher
DelGuacchio2024Comment,2024,generic_limits_debate,global,"The Genus Lophiolepis Is at Least as Well Supported as Afrocarduus, Afrocirsium, and Nuriaea",10.3390/plants13233399,critical_reanalysis_comment,interpretation of published phylogenomic and genomic evidence,not a new sampling study,Argued that Lophiolepis is well supported and that Cirsium including it is not monophyletic under their reading.,comment; taxonomic interpretation rather than new broad dataset,must retain alternative generic concepts in the synonym/accepted-name layer,C,open PMC
MoreyraSusanna2024Reply,2024,generic_limits_debate,global,"Reply to Del Guacchio et al. The Genus Lophiolepis Is at Least as Well Supported as Afrocarduus, Afrocirsium, and Nuriaea",10.3390/plants13233400,reply_and_taxonomic_argument,interpretation of Hyb-Seq trees,not a new sampling study,Defended their broader Cirsium treatment and clarified differences in evidential and taxonomic criteria.,reply; no new comprehensive sampling,confirms that generic circumscription is not settled and should not drive biological transition counts by itself,C,open PMC
Moreyra2025,2025,global_Cirsium_phylogenomics_biogeography,global_Holarctic,A thorny tale: The origin and diversification of Cirsium (Compositae),10.1016/j.ympev.2025.108285,target_capture_nuclear_phylogenomics,350 nuclear loci,299 plants; 251 taxa; 266 Cirsium accessions representing 248 species,Largest Cirsium backbone to date; Western Palearctic origin; Pleistocene radiations in Japan and North America; some conflict attributed to hybridization/ILS.,approximately 60% of genus; mostly one/few accessions per species; exact supplement/tree recovery incomplete,primary species-level nuclear backbone and source for deciding genuine RAD gaps,A,PRJNA957074; Supplementary Data 1; exact Newick still being recovered
KelchBaldwin2003,2003,regional_phylogeny,New_World,"Phylogeny and ecological radiation of New World thistles (Cirsium, Cardueae-Compositae) based on ITS and ETS rDNA sequence data",10.1046/j.1365-294X.2003.01710.x,nuclear_rDNA,ITS and ETS,35 North American taxa cited by later audit,Low rDNA divergence and a California radiation; raised rapid-radiation versus conserved-rDNA alternatives.,few loci; low divergence; no genomic/population resolution,"historical evidence for rapid radiation, not adequate for East Asian backbone",B,PubMed/publisher
Slotta2012,2012,regional_phylogeny,North_American_Great_Plains,Phylogeny of Cirsium spp. in North America: Host Specificity Does Not Follow Phylogeny,10.3390/plants1020061,nuclear_rDNA,ITS and ETS,native and introduced Great Plains Cirsium plus allied thistles,Produced a regional tree for host-specificity questions but did not resolve fine species relationships broadly.,two linked rDNA regions; limited geographic/taxon sampling,low-priority historical comparison,C,open article
Ackerfield2020NorthAmerica,2020,regional_species_delimitation,North_America,Thistle be a mess: Untangling the taxonomy of Cirsium (Cardueae: Compositae) in North America,10.1111/jse.12692,two_nuclear_rDNA_plus_four_plastid,2 nuclear ribosomal and 4 plastid markers,broad North American sampling with species-variety complexes,"Eight species-variety complexes were polyphyletic; convergence, hybridization and incipient speciation contribute to taxonomic difficulty.",few loci and species-complex focus,supports population/morph-level coding rather than forcing one colour per accepted species,B,publisher full text/supplement
Siniscalchi2023,2023,regional_phylogenomics_diversification,North_America,Diversification and Biogeography of North American Thistles (Cirsium: Carduoideae: Compositae): Drivers of a Rapid Continent-Wide Radiation,10.1086/724310,target_capture_phylogenomics,Compositae1061 target capture,64 North American taxa,North American radiation originated about 2 Ma with Pleistocene bursts; precipitation and semiaridity were major diversification correlates.,regional taxa and mostly species-level tips; not an East Asian population tree,demonstrates value of target capture for recent radiation and supplies methodological precedent,A,journal supplement
Bures2004Genome,2004,hybridization_cytogenetics,Central_Europe,Genome size variation in Central European species of Cirsium (Compositae) and their natural hybrids,10.1093/aob/mch151,flow_cytometry,nuclear DNA content; cytotypes,13 taxa; 12 natural hybrid combinations; 102 populations,"Documented genome-size variation, diploid hybrids, triploidy and a tetraploid C. vulgare; genome size related to hybridization propensity.",not a sequence phylogeny; geography restricted,basis for mandatory ploidy/cytotype metadata and avoiding diploid assumptions,C,open PMC
Bures2010Hybridization,2010,reproductive_isolation_hybridization,Central_Europe,Pollen viability and natural hybridization of Central European species of Cirsium,,pollen_viability_AFLP_herbarium,AFLP genetic distance plus pollen and distribution data,13 species; 16 natural hybrids; 163 field populations,"Natural hybrids were often pollen-fertile and viability covaried with parental distance and sympatry, supporting recurrent introgression potential.",regional and not a species-tree analysis,supports explicit network/introgression alternatives for colour histories,C,Preslia 82:391-422; open PDF/appendices
Michalkova2018Sudae,2018,hybrid_confirmation,Alps,Cirsium x sudae: a new interspecific hybrid between rare Alpine thistles,10.23855/preslia.2018.347,AFLP_plus_flow_cytometry_morphology,AFLP; genome size,four hybrid individuals and parental taxa,Confirmed homoploid F1 hybrids and a backcross between C. carniolicum and C. greimleri.,single local hybrid system,empirical precedent that backcrossing can blur trait-state and species-tree correspondence,C,open Preslia
Chang2025Nipponocirsium,2025,regional_phylotranscriptomics_cytogenetics,Japan_Taiwan,"Chromosome number variation and phylogenetic divergence of East Asian Cirsium sect. Onotrophe subsect. Nipponocirsium (Compositae), with a new species from Taiwan",10.1186/s40529-025-00454-2,phylotranscriptomics_plus_karyotype_species_delimitation,thousands of transcriptome orthogroups plus chromosome/pollen/morphology,seven focal Cirsium species across Taiwan and Japan,Resolved Japanese and Taiwanese clades; inferred recent Pleistocene divergences with dysploidy and tetraploidization.,one subsection and few samples per species; population gene flow only partly addressed,best local nuclear anchor for C. kawakamii white-loss replicate and ploidy-aware design,A,open article; PRJNA1158676
Chang2025TaiwanKaryotype,2025,regional_cytogenetics,Taiwan,Karyotype analysis and taxonomic insights of Cirsium (Compositae) in Taiwan,10.1508/cytologia.90.207,karyotype_cytology,chromosome counts; karyotype asymmetry; satellites,12 indigenous Taiwanese taxa,Most taxa had 2n=34 but 2n=30/32 and diagnostic satellite/karyotype differences occurred.,cluster analysis of cytology is not a nuclear species tree,critical ploidy/cytotype covariate and specimen source for Taiwanese sampling,C,open J-STAGE with supplement
Chang2026TaiwanRyukyu,2026,regional_phylotranscriptomics_taxonomy,Taiwan_Ryukyu_Japan_China_context,Phylotranscriptomics and genome-size evidence clarify the Taiwanese Cirsium japonicum complex and delimit C. brevicaule and allied East Asian thistles,10.1186/s12870-026-08097-6,phylotranscriptomics_plus_genome_size_taxonomy,4083 orthogroups in primary ASTRAL analysis plus genome-size/morphology,37 samples; 33 Cirsium samples; 12 Cirsium taxa,"Resolved Sinocirsium, Arenicola and Nipponocirsium framework; delimited C. brevicaule and C. irumtiense; revealed reticulation/ILS signals in Taiwan complex.",limited taxon/population coverage for all East Asia; exact machine-readable trees still being recovered,primary backbone for Arenicola and takaoense regain-versus-parallel-loss hypotheses,A,open article; PRJNA1311153; Supplementary Material 1
KangChoiJang2021,2021,regional_cytogenetics,Korea,Chromosome Evolution in Korean Carduus-Cirsium Taxa (Asteraceae),10.1508/cytologia.86.375,chromosome_karyotype,Feulgen chromosome counts/karyotypes,nine Korean Cirsium taxa plus Carduus crispus,"Documented diploids, tetraploid 2n=68, aneuploidy and B chromosomes; karyotypes informative at species rather than section level.",not a sequence phylogeny,identifies Korean cytotype complexity that RAD/target capture must model,C,open J-STAGE
SongKim2007,2007,regional_morphological_systematics,Korea,A taxonomic study of the genus Cirsium in Korea based on morphological characters,,morphological_taxonomy,morphology,8 species; 3 varieties; 5 forms reported in Korean revision,Provided Korean taxon/form circumscription and historical white-form nomenclature.,no molecular phylogeny and older species concepts,"source for candidate white morph names, never sufficient to count independent transitions",D,Korean Journal of Plant Taxonomy 37:17-40
Nam2019RhinocerosPlastome,2019,single_taxon_organelle,Korea,"The complete chloroplast genome of Korean endemic species, Cirsium rhinoceros (H.Lev. & Vaniot) Nakai (Asteraceae)",10.1080/23802359.2019.1627940,complete_plastome,chloroplast genome,one C. rhinoceros accession; six Cirsium in tree,Provided maternal plastome and a small organellar placement for the Jeju endemic.,single accession; maternal genealogy; tiny phylogenetic sampling,does not close the nuclear gap for the historical white-form candidate,D,GenBank MK922360 / NC_044423; open PMC
