evidence_id,evidence_class,scale,source_or_analysis,data_generation_group,observed_result,what_it_establishes,what_it_does_not_establish,EAzami_problem,linked_hypotheses
LIT_CJ2020,published_conclusion,molecular,Cirsium japonicum transcriptome-metabolome 2020,cj2020_transcriptome_metabolome,"29 phenylpropanoid-pathway orthologs identified; many flavonoid genes show 2.6-500x higher expression in flowers than leaves; strong tissue-specific flavonoid profiles","C. japonicum has recoverable flavonoid/phenylpropanoid machinery and strong floral tissue specificity","Does not identify the causal W/C switch in focal taxa or historical transition direction","Mechanism can be framed as regulatory/structural reuse rather than mere pathway presence",HMM1|HMM5
LIT_MOREYRA2025,published_conclusion,regional_macroevolution,Moreyra et al. 2025 target-capture phylogenomics,moreyra_target_capture,"350 nuclear loci; dominant Japanese radiation includes 36/38 sampled Japanese species; C. lineare and C. dipsacolepis have separate histories; some discordance attributed to hybridization/ILS","One dominant Japanese radiation plus exceptional lineages and a broad biogeographic time frame","Does not independently replicate each exceptional dispersal event or identify colour mechanism","Colonization success is strongly asymmetric rather than many equivalent entries",HMM3|HMM4
LIT_CHANG2025,published_conclusion,cytogenetic_lineage,Chang et al. 2025 Nipponocirsium phylotranscriptomics,chang_transcriptome_program,"Japanese and Taiwanese Nipponocirsium clades; prevalent tetraploidy with chromosome-number differences; C. pengii diploid; recent divergence","Chromosome evolution and young lineage divergence accompany East Asian diversification","Does not show that ploidy caused the focal flower-colour transitions","Ploidy/genome change is a candidate macro covariate rather than a colour-causation claim",HMM3|HMM4
LIT_CHANG2026,published_conclusion,lineage_population,Chang et al. 2026 Sinocirsium-Arenicola-Nipponocirsium phylotranscriptomics,chang_transcriptome_program,"Three monophyletic subsections diverged ca. 1.30-1.02 Ma; independent 2C shifts; island fragmentation/demographic history; var. takaoense floral-colour polymorphism linked experimentally to anthocyanin expression and pollinator preference","Young Quaternary island lineages combine genomic, demographic and floral variation","Does not by itself establish ancestral white/coloured direction or a shared causal molecular change across white lineages","Recent radiation supplies a natural replicated scale for testing reversible trait evolution",HMM1|HMM3|HMM5
OWN_JAPAN_ORIGIN_META,EAzami_reanalysis,regional_macroevolution,japan_cirsium_origin_meta_analysis_v1,EAzami_cross_study_synthesis,"36/38=94.74% in dominant radiation; C. lineare exception supported in 3/3 analyses and 2/2 independent high-dimensional data-generation groups; C. dipsacolepis supported by 1 group; Arenicola extra colonization unsupported","Strict all-Japan single origin is rejected; best current structure is dominant radiation plus rare secondary histories","Does not yet provide a completed independent 294/296 empirical tree or replicate C. dipsacolepis in a second data-generation group","Why did one entry radiate massively while secondary entries did not?",HMM3|HMM4
OWN_TAK_TOPO,EAzami_reanalysis,population_to_lineage,chang2026_takaoense_topology_robustness,EAzami_topology_enumeration,"945 rooted six-tip topologies; published topology minimum 1 loss + 1 regain; no-regain penalty +2; 270/945 require regain and 675/945 permit no-regain; BP monophyly 36/45 requires regain; W monophyly 0/45 requires regain","Regain support is locally robust around the published topology but globally topology-sensitive","Does not give posterior topology probabilities or prove molecular reactivation","Historical colour direction is an identifiability problem that must propagate topology uncertainty",HMM1|HMM2
OWN_FITCH_POLYMORPHISM,EAzami_reanalysis,trait_coding,preliminary Fitch screen,EAzami_trait_history_screen,"Collapsing polymorphic var. takaoense to one ambiguous species tip reduces the minimum transition count relative to representing W and C samples separately","Species-tip state aggregation can erase recent transitions","Does not quantify the bias across the full genus until repeated on multiple polymorphic systems and tree ensembles","One-state-per-species macroevolutionary matrices may underestimate transition rates in young radiations",HMM2
OWN_PUBLIC_DEDUP,EAzami_reanalysis,evidence_method,public nuclear panel audit,EAzami_accession_provenance,"Cross-paper reuse and a public-read pseudoreplicate were detected; current accepted baseline is 294 biological tips / 295 SRRs rather than earlier 302/303 arithmetic","Evidence independence must be counted by biological sample/data-generation group rather than paper/accession count","Does not itself change biological topology","Naive literature vote-counting can inflate apparent replication",HMM3|HMM4
OWN_COLOUR_ATLAS,EAzami_reanalysis,regional_trait_pattern,cirsium_flower_colour_atlas_v0_2,EAzami_source_backed_trait_atlas,"Source-backed W/C/P states occur in multiple nuclear contexts including Arenicola, Sinocirsium and Nipponocirsium, with W/C polymorphism within var. takaoense and documented Japanese polymorphic systems","White phenotype and W/C polymorphism recur across separated East Asian lineages","Does not prove identical molecular mechanism or exact number/direction of transitions without the full topology ensemble","Macro phenotypic recurrence needs pathway-level rather than single-gene convergence tests",HMM1|HMM2|HMM5
OWN_AZAMI_IMAGE_PHENOMICS,own_preliminary_result,global_trait_variation,zuizui0223/azami final_claims release 2026-07-reviewer-reanalysis-candidate-4,azami_public_image_phenomics,"216 taxa / 3725 observations / 6626 heads; across nine endpoints at least about half of visible image variance remains below assigned-species means under one-head-per-photo and balanced-10-photo sensitivities; precision-aware variation-vs-climate-association rho=-0.0569 and hierarchical variance-meta-regression b=-0.0416 with CI spanning zero","Species means compress large visible within-assigned-species heterogeneity, and visible dispersion is not a single common axis with within-species spatial climatic association across modules","Does not establish genetic variance, phenotypic plasticity, local adaptation, evolutionary rate or a resolved Cirsium tree","Micro/population variation and macro species-level ecological/evolutionary summaries may be partially decoupled and require hierarchical scale-explicit models",HMM2|HMM6
OWN_HMM2_STAGED,EAzami_reanalysis,trait_genealogy_resolution,hmm2_population_aware_transition_test_v1,EAzami_HMM2_staged_test,"State compression in 4/4 reviewed polymorphic systems; only takaoense currently has morph-linked nuclear samples; its minimum transition count changes 1->2; replicated transition-rate test currently 0/4 testable","HMM2 has partial support at state-resolution level and direct minimum-count support in the only currently testable morph-linked system","Does not show transition rates are doubled or that four polymorphic taxa represent four independent evolutionary transitions","Morph-genotype linkage rather than species presence alone is a major macroevolutionary information bottleneck",HMM2
OWN_MOLECULAR_PANEL_BRIDGE,EAzami_reanalysis,molecular_coverage,cirsium_flavonoid_molecular_bridge_v1,EAzami_molecular_coverage_synthesis,"17-family audit: entry+core+branch 9/9 directly covered; anthocyanin+regulatory+transport 1/8; terminal anthocyanin+MBW+transport 0/7 in named targeted published panels","Published molecular coverage is much denser upstream than at the terminal/regulatory/transport layer most diagnostic of reversible W/C switching","Does not mean terminal/regulatory genes are absent from Cirsium genomes or transcriptomes","Targeted-panel reporting resolution can lag behind the molecular layer needed for evolutionary mechanism tests",HMM1|HMM5
OWN_CNIP_ANNOTATION_AUDIT,EAzami_reanalysis,molecular_annotation_resolution,cnipponicum_flavonoid_annotation_term_audit_v1,EAzami_public_genome_annotation_audit,"31,263 protein headers and 554,761 GFF records scanned; 0 functional-text hits for all 13 searched families including CHS/FLS/DFR controls; distributed files expose structural IDs/coordinates rather than functional labels","Public C. nipponicum sequence data exist but FASTA/GFF functional labels cannot recover even positive-control pathway genes","Does not imply any searched family is absent from the genome","Functional annotation linkage is a separate information layer from having genome sequence",HMM1|HMM5
OWN_CNIP_SEQUENCE_HOMOLOGY,EAzami_reanalysis,molecular_homology_resolution,cnipponicum_flavonoid_blast_candidate_retrieval_v1,EAzami_public_genome_homology_screen,"Reviewed UniProt queries recover candidate homologs for 11/11 tested families from the same C. nipponicum proteome; DFR top=Cn_g13756.t1 71.1% identity and ANS top=Cn_g8152.t1 74.6%; large UGT/MYB/bHLH/WD40/GST/MATE families remain orthology-ambiguous","The apparent annotation/reporting gap does not prevent sequence-level recovery of terminal/regulatory/transport family candidates; DFR/ANS provide strong next phylogenetic/domain targets","BLAST top hits do not prove one-to-one orthology, anthocyanin function, pathway activity, or a white-flower mechanism","Micro-to-macro inference requires an explicit resolution ladder from reported panel -> functional annotation -> sequence homology -> orthology/function -> colour-lineage comparison",HMM1|HMM5
