loading_id,trait_module,function_axis,mediator,fitness_stage,source_estimand_ids,evidence_state,direction_contract,cirsium_loading_status,allowed_chapter2_use,uncertainty_rule,counterevidence,claim_boundary
L01,display,pollinator_discovery,first_visit_or_discovery,pre_fitness,E01,PARTIAL,larger_display_can_increase_discovery,conditional_after_homologous_display_scale,qualitative_function_axis_and_focal_experiment_prior,no_numeric_loading_until_comparable_group_effects_recovered,context_and_density_modify_realized_effect,"Do not convert visit discovery into seed fitness or a fixed positive Cirsium coordinate"
L02,display,reproductive_enemy_apparency,attack_or_seed_predator_discovery,reproductive_cost,E03,NEAR_READY,larger_display_can_increase_enemy_apparency,conditional_after_guild_and_scale_stratification,qualitative_tradeoff_axis_and_simulation_sign_prior,separate_manipulations_from_observational_correlations_and_preserve_guild,enemy_effect_can_fail_to_offset_maternal_gain,"Do not collapse pollinator benefit and enemy cost into one net display coefficient"
L03,display,net_reproductive_fitness,combined_mutualist_and_antagonist_pathways,reproductive_fitness,E04,PARTIAL,context_dependent_net_direction,not_loadable,reverse_design_only,require_joint_or_multivariate_effect_with_pathway_covariance,no_independent_pool_ready_net_display_replication,"Potential maternal gain wording is not a measured transportable net effect"
L04,orientation,effective_pollination,pollen_transfer_or_timed_effective_contact,pre_fitness,E05,NEAR_READY,protective_or_natural_orientation_can_increase_transfer,conditional_after_orientation_and_context_standardization,function_axis_with_uncertainty_for_focal_hypothesis,retain_study_and_slope_or_time_context_and_do_not_use_total_visits_as_transfer,Lilium_orientation_by_slope_and_all_day_nulls_limit_universal_sign,"External family calibrations do not establish a Cirsium orientation effect"
L05,orientation,abiotic_reproductive_protection,wetting_temperature_UV_or_pollen_performance,mechanism,E06,NEAR_READY,orientation_can_modify_abiotic_exposure,conditional_after_mechanism_specific_scale,separate_protection_axis_for_FDT4_hypothesis,no_final_fitness_loading_from_mechanism_endpoint_alone,multiple_abiotic_routes_need_not_share_direction,"Protection mechanism is not itself adaptation or seed fitness"
L06,orientation,net_reproductive_fitness,combined_pollination_and_protection,reproductive_fitness,E07,READY_CANDIDATE,natural_or_protective_orientation_often_higher_but_heterogeneous,calibration_only_until_focal_state_homology_and_context,external_effect_distribution_candidate_only,retain_between_study_heterogeneity_and_shared_outcome_dependence,two_study_feasibility_meta_has_high_heterogeneity_and_interval_crosses_one,"Do not call an orientation universally adaptive or transfer the pooled diagnostic to Cirsium"
L07,defensive_envelope,antagonist_access_and_damage,physical_liquid_or_concealment_barrier,reproductive_cost,E08,MECHANISM_REPLICATED_NOT_POOL_READY,intact_envelope_often_reduces_access_or_damage,conditional_after_direct_botanical_proxy_validation,mechanistic_axis_and_focal_experiment_prior,stratify_physical_spine_liquid_barrier_and_visual_physical_package,Rheum_bracts_increased_seed_predation,"Nonhomologous envelopes and opposite directions prohibit one defence magnitude"
L08,defensive_envelope,net_reproductive_fitness,enemy_exclusion_with_possible_pollinator_cost,reproductive_fitness,E09,FITNESS_REPLICATED_NOT_POOL_READY,intact_envelope_can_preserve_seed_or_fruit,conditional_after_direct_botanical_proxy_validation,fitness_direction_prior_and_reverse_design,recover_model_link_paired_covariance_and_plant_level_variance_before_pooling,Monotropsis_fruit_effect_supported_in_one_of_two_years,"No external experiment validates the Azami image proxy or a focal Cirsium adaptation"
L09,defensive_envelope,pollinator_handling_tradeoff,legitimate_visitor_access_or_duration,pre_fitness,E08_context,DIRECTION_ONLY_CARDUEAE,spines_can_reduce_legitimate_visit_duration_or_access,conditional_after_focal_botanical_validation,explicit_tradeoff_measurement_requirement,no_numeric_loading_from_direction_only_visit_duration,Centaurea_legitimate_visit_incidence_was_null,"Visitor duration is not effective pollination or reproductive fitness"
L10,stickiness,antagonist_access_and_damage,adhesion_trapping_or_compound_enclosure,reproductive_cost,E10,MECHANISM_REPLICATED_NOT_POOL_READY,sticky_or_glandular_structures_can_reduce_enemy_damage_contextually,not_loadable_as_single_axis,negative_control_and_context_specific_hypothesis,stratify_adhesive_glandular_and_compound_envelope_systems,Cirsium_null_Datura_cost_and_mixed_Aquilegia_directions,"Do not merge stickiness with spines or assign a generic positive defence score"
L11,stickiness,net_reproductive_fitness,enemy_effect_minus_whole_plant_or_visitor_cost,reproductive_fitness,E11,PARTIAL,context_dependent_and_unresolved,not_loadable,reverse_design_or_negative_control_only,require_independent_floral_manipulation_with_final_seed_output,Datura_is_contextual_whole_plant_cost_not_floral_sticky_effect,"No new pool-ready reproductive-stickiness fitness effect is available"
L12,colour,pollinator_sensory_effect,availability_normalized_choice_or_effective_contact,pre_fitness,E12,PARTIAL,colour_preference_is_context_and_guild_dependent,conditional_after_local_availability_standardization,focal_choice_hypothesis_only,retain_population_guild_and_morph_availability_and_do_not_condition_pool_on_significance,Cirsium_palustre_white_preference_cases_are_significance_conditioned,"Do not hard-code white or coloured as universally preferred"
