artifact_id,artifact_role,analysis_in_paper,expected_format_or_content,public_location_checked,recovery_status,evidence,blocking_use
TREE01,all_sample_astral_species_tree,ASTRAL all-sample phylogeny based on 2999 retained OG trees,Newick/Nexus tree with all sample labels and branch/support annotations,Final BMC article + Supplementary Material 1 + indexed repository searches,not_publicly_recovered,"Methods state ASTRAL v5.7.7 and Fig. 1A displays the tree; final Data Availability points only to PRJNA1311153 raw SRA; Supplementary Material 1 contains tables/figures rather than a machine-readable tree.",Exact topology/branch annotation reuse and topology-ensemble validation
TREE02,cirsium_astral_species_tree,ASTRAL tree used by SODA/PTP based on 2599/2442 filtered Cirsium OG context,Newick/Nexus rooted Cirsium tree,Final BMC article + Supplementary Material 1 + indexed repository searches,not_publicly_recovered,"Fig. 1E displays the delimitation tree; no machine-readable tree is listed in Data Availability.",Exact species-delimitation topology reuse
TREE03,cirsium_bayesian_mcc_tree,StarBEAST3/BEAST Cirsium-only tree based on 52 OGs,TreeAnnotator MCC Newick/Nexus with node heights/support,Final BMC article + Supplementary Material 1 + open peer-review files,not_publicly_recovered,"Peer-review author response explicitly clarifies that the species-delimitation Cirsium-only Bayesian analysis used 52 OGs; no MCC tree deposit is identified.",Branch-length Mk/stochastic mapping on the same Bayesian topology
TREE04,cirsium_bayesian_posterior,StarBEAST3 posterior distribution underlying DensiTree Fig. 1D,BEAST .trees posterior sample with taxon mapping,Final BMC article + Supplementary Material 1 + open peer-review files,not_publicly_recovered,"Methods state 100 million generations sampled every 1000 and DensiTree visualization; no posterior .trees archive is listed publicly.",Topology uncertainty propagation and posterior stochastic mapping
TREE05,time_calibrated_mcc_tree,StarBEAST3/BEAST divergence-time tree shown in Fig. 2 based on 50 OGs,TreeAnnotator MCC tree with node heights/HPD/support,Final BMC article + Supplementary Material 1 + open peer-review files,not_publicly_recovered,"Results and Fig. 2 report node medians/HPDs; peer-review author response confirms divergence-time analysis used 50 OGs and that 52 in an earlier Fig. 2 version was a typo. No machine-readable dated tree is listed in Data Availability.",Direct branch-length ancestral-state reconstruction
TREE06,time_calibrated_posterior,Posterior trees for the 50-OG dated analysis,BEAST .trees posterior sample and ideally XML/log,Final BMC article + Supplementary Material 1 + open peer-review files,not_publicly_recovered,"Methods describe TreeAnnotator 10% burn-in after MCMC but no posterior-tree deposit is identified.",Age/topology uncertainty propagation
TREE07,astral_gene_tree_set,RAxML gene trees supplied to ASTRAL,Per-OG Newick trees and locus/taxon mapping,Final BMC article + Supplementary Material 1 + indexed repository searches,not_publicly_recovered,"Methods describe individual RAxML GTRCAT trees with 100 bootstrap replicates; only raw SRA is deposited.",Independent ASTRAL rerun and gene-tree discordance analysis
TREE08,raw_rna_reads,Public sequencing input,NCBI SRA reads,NCBI BioProject PRJNA1311153,recovered,"Final Data Availability and multiple author responses identify PRJNA1311153 as the public data location.",Can reconstruct transcriptomes/orthogroups independently but does not reproduce exact author intermediates without their filtered alignments/trees
TREE09,published_node_age_text,Partial dated-tree constraints,Median ages for Arenicola+Nipponocirsium 1.02 Mya; Arenicola MRCA 0.93 Mya; morii split 0.79 Mya,Final BMC Results text,recovered_partial,"Numerical medians and HPDs are printed in the article, allowing partial calibration but not recovery of every branch length.",Supports rate-sensitivity analysis only; not equivalent to exact published MCC tree
TREE10,research_square_preprint,Preprint version 1,Manuscript and any public supplementary attachments,Research Square DOI 10.21203/rs.3.rs-7470174/v1 + indexed searches,preprint_identified_tree_not_recovered,"Preprint is publicly indexed, but current indexed searches did not surface a Newick/Nexus/.trees attachment. This status is an audit result, not proof that no unindexed author-side file ever existed.",No exact tree recovered from preprint path
