priority,taxon,japan38_member_id,current_nuclear_status,current_azami_trait_status,why_now,next_public_data_action,field_sampling_status,claim_boundary
A0,Cirsium dipsacolepis,JPN_06,"verified Moreyra high-dimensional nuclear tip; secondary-arrival candidate","absent from current Azami exhaustive source pool","only current second secondary-history comparator; without its phenotype the pre-tree radiation contrast is one-exception only","targeted synonym-aware public-image + herbarium + flora trait recovery for colour/orientation/outline first",defer_species_placement_sampling,"trait recovery does not alter its nuclear placement or prove adaptive divergence"
A1,Cirsium alpicola,JPN_03,"verified Moreyra nuclear tip; dominant radiation","absent from current Azami exhaustive source pool","known 6x focal cytotype gives high information for trait-disparity × ploidy axis inside dominant radiation","targeted public-image/herbarium recovery with explicit cytotype/taxon provenance",defer_population_sampling_until_tree_and_trait_result,"taxon-level 6x record is not every population's cytotype"
MANUAL,Cirsium yuki-uenoanum,JPN_31,"Moreyra tree code exists but BioSample/NCBI name+geography conflict with C. waldsteinii/Ukraine","named taxon absent; Azami has C. waldsteinii source observations","potential large image recovery but identity conflict makes automatic relabelling unsafe","resolve voucher/BioSample/taxon identity before any image-trait reuse",no_new_sampling_until_identity_resolved,"C. waldsteinii images cannot be relabelled as C. yuki-uenoanum without identity resolution"
MANUAL,Cirsium effusum,JPN_33,"Moreyra cultivated tree code conflicts with NCBI C. pulchellum","named taxon absent; Azami has C. pulchellum source observations","small sensitivity recovery possible but accepted-name identity unresolved","resolve cultivated voucher/current accepted name before reuse",no_new_sampling_until_identity_resolved,"C. pulchellum images cannot be relabelled as C. effusum automatically"
B_TREE,Cirsium abukumense,JPN_01,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch; value depends on final branch placement","rank image/herbarium recovery by branch coverage after accepted 294/296 tree",defer,"missing phenotype is not a nuclear gap"
B_TREE,Cirsium aidzuense,JPN_02,"verified Moreyra nuclear tip with published-name artifact","absent from current Azami exhaustive source pool","dominant-radiation internal branch; name requires reconciliation","resolve name then rank trait recovery after tree",defer,"do not treat typographic source string as frozen accepted name"
B_TREE,Cirsium domonii,JPN_07,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium funagataense,JPN_08,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium gyojanum,JPN_09,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium ishidatense,JPN_10,"verified Moreyra nuclear tip under informal NCBI identifier","absent from current Azami exhaustive source pool","dominant-radiation internal branch with identity nuance","resolve source identity then rank recovery after tree",defer,"do not infer accepted identity from informal NCBI label alone"
B_TREE,Cirsium ishizuchiense,JPN_11,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium kasaianum,JPN_13,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium kiotoense,JPN_14,"verified Moreyra nuclear tip under informal NCBI identifier","absent from current Azami exhaustive source pool","dominant-radiation internal branch with identity nuance","resolve source identity then rank recovery after tree",defer,"do not infer accepted identity from informal NCBI label alone"
B_TREE,Cirsium magofukui,JPN_16,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium nippoense,JPN_19,"verified Moreyra nuclear tip with NCBI spelling difference","absent from current Azami exhaustive source pool","dominant-radiation internal branch; spelling reconciliation needed","resolve nippoense/nipponense source spelling then rank recovery after tree",defer,"spelling reconciliation is not biological equivalence proof beyond source audit"
B_TREE,Cirsium pseudosuffultum,JPN_24,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium shidokimontanum,JPN_25,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
B_TREE,Cirsium uzenense,JPN_28,"verified Moreyra nuclear tip","absent from current Azami exhaustive source pool","dominant-radiation internal branch","rank image/herbarium recovery after tree",defer,"missing phenotype is not a placement gap"
