evidence_id,year,publication_class,region,taxon_scope,nuclear_data_type,scale,public_data_status,japan38_or_focal_overlap,previous_repo_state,audit_decision,chapter2_use,claim_limit,source_locator
NUC01,2012,peer_reviewed_article,Korea_NE_Asia,"Cirsium pendulum; C. setidens; comparison to Hokkaido C. pendulum and Anhui C. japonicum","18S rDNA; ITS1; 5.8S rDNA; ITS2; partial 28S rDNA",multi_population_rDNA,"GenBank deposition stated; C. setidens accessions JX274255-JX274258 recoverable from later sequence comparison; full accession audit still pending","C. pendulum is Japan38 JPN_38 exact taxon at species name; geography differs","missing from curated phylogeny registry and integrated East-Asia coverage table","retain as independent older nuclear marker evidence; not a modern species backbone","supporting topology/taxon-resolution audit and NE-Asia bridge evidence","linked ribosomal array and shallow marker set cannot validate the Japan38 genome-scale topology or estimate transition history",https://doi.org/10.5352/JLS.2012.22.8.1120
NUC02,2015,peer_reviewed_article,Korea,"C. japonicum from 8 localities; C. nipponicum; C. shantarense; C. chanroenicum plus GenBank comparisons","18S rDNA; ITS1; 5.8S rDNA; ITS2; partial 28S rDNA",regional_rDNA,"sequence-based study; exact accession set requires separate recovery","C. nipponicum is a Japan38 species-name overlap but Korean Ulleung material is not the Japanese JPN_35 sample; C. shantarense is orientation-relevant NE-Asia comparator","present in batch02b registry but not propagated into east_asia_nuclear_coverage_v1","retain and promote into integrated independent-evidence context","independent evidence that nodding C. shantarense can cluster with upward C. japonicum in ITS while head orientation differs","one linked rDNA array; neighbor-joining and sparse sampling do not establish genome-wide ancestry or evolutionary independence of orientation",https://doi.org/10.5352/JLS.2015.25.2.243
NUC03,2017-2021,JSPS_project_report_plus_conference,Japan,"broad Japanese Cirsium plus seven diploid Kaga-subsection taxa; includes C. microspicatum and C. kiotoense context","MIG-seq / RAD-seq genome-wide reduced-representation SNPs",regional_and_population_genomewide,"final JSPS report and 2017 conference record public; raw genotype/SRA matrix not recovered","direct Japan38 overlap includes JPN_34 C. microspicatum and JPN_14 C. kiotoense","absent from curated nuclear literature registry and east_asia_nuclear_coverage_v1","major omitted independent nuclear evidence; retain as grey/direct report with lower publication tier than peer-reviewed genomic studies","supports population/species-tip resolution boundary: within-population variation can exceed named interspecific differentiation; IBD and mixed clusters reported","not a reusable common-locus tree; combined project also used plastid data; exact sample/genotype matrix unavailable",https://kaken.nii.ac.jp/grant/KAKENHI-PROJECT-17K07524/
NUC04,2018,peer_reviewed_article,Korea_Jeju,Cirsium japonicum var. spinossimum,"flower/leaf/root RNA-seq de novo transcriptome; 51133 unigenes",functional_transcriptome,"article and transcriptome resource public","regional C. japonicum-complex resource; not an exact Japan38 voucher/taxon concept","not represented in species-backbone coverage because it is not a phylogeny dataset","retain as nuclear functional/reference resource, not phylogenetic placement","future candidate-gene / floral expression reference; does not alter Chapter 2 tree","single taxon transcriptome cannot resolve species relationships or trait-history transitions",https://doi.org/10.5808/GI.2018.16.4.e34
NUC05,2019,peer_reviewed_phylogenomics,global_Cardueae,"76 Cardueae species including Carduus-Cirsium framework","Compositae1061 Hyb-Seq nuclear targets plus plastid",deep_phylogenomic_backbone,"Mendeley data includes alignments/gene trees/species trees","deep outgroup/backbone overlap rather than dense Japan38 population overlap","already curated Tier A","retain as independent locus-framework/outgroup validation","establishes reusable Compositae1061 continuity and deep Cardueae placement independent of Moreyra 2025","sparse within Cirsium; cannot replace dense Japan38 species/population analysis",https://doi.org/10.1016/j.ympev.2019.05.001
NUC06,2022,public_primary_dataset,Japan_Awaji,Cirsium maritimum,"MIG-seq genome-wide reduced-representation genotypes",within_species_temporal_population,"Dryad contains Genepop_Cmaritimum.txt (73.09 KB) and README","direct exact Japan38 species overlap: JPN_17 C. maritimum; populations are independent of Moreyra sample","absent from curated phylogeny registry and east_asia_nuclear_coverage_v1","major omitted reusable nuclear dataset; prioritize reanalysis as a within-species resolution layer","quantify extant/past/ex-situ within-species genetic structure and demonstrate population information hidden by one species tip","single-species population data do not validate JPN_17 placement in the Japan38 species tree and are not trait-linked to the sequenced voucher",https://doi.org/10.5061/dryad.tb2rbp03j
NUC07,2024,peer_reviewed_genome,Korea_Ulleung,Cirsium nipponicum,"Illumina + Nanopore nuclear reference genome; single-copy ortholog analysis",reference_genome,"SRA PRJNA1127082; assembly/annotation on Figshare","species-name overlap with JPN_35 C. nipponicum; Korean Ulleung accession is geographically distinct from the Japanese sample","already present in registry additions but underused in integrated coverage interpretation","retain as reusable nuclear reference and mapping/orthology resource, not regional species backbone","future read mapping, probe design and gene-level analysis; independent nuclear resource beyond Moreyra","single Cirsium genome in a broad 11-plant ortholog tree cannot resolve Japanese Cirsium relationships",https://doi.org/10.3390/genes15101269
NUC08,2024,peer_reviewed_article,China_Xinjiang,"Lamyropsis macracantha plus comparative Cardueae sequences","nuclear ITS + ETS plus morphology",local_generic_placement,"published sequence-based analysis","no direct Japan38 tip; East-Asian/generic boundary context","already present in registry additions","retain as local nuclear taxonomic evidence","supports synonym/generic-scope reconciliation before declaring East-Asian sequence gaps","two linked ribosomal regions and narrow sampling cannot supply a regional Cirsium backbone",https://doi.org/10.11646/phytotaxa.668.3.5
NUC09,2025,peer_reviewed_phylotranscriptomics,Japan_Taiwan_Nipponocirsium,"C. kujuense; C. suffultum; C. nipponicum var. incomptum; C. lineare; C. kawakamii; C. tatakaense; C. pengii","thousands of transcriptome orthogroups; ASTRAL and network analyses",regional_phylogenomics,"BioProject PRJNA1158676; accession audit already in repo","direct overlap with East-Asian Comp1061 panel and several Japanese focal concepts","already deeply integrated into Chang2025 accession audit and east_asia_nuclear_coverage_v1","retain as strongest Moreyra-independent local species-tree sensitivity for Nipponocirsium","independent topology/cytotype validation and network sensitivity","subsection-specific and few individuals per Japanese species; does not cover all Japan38",https://doi.org/10.1186/s40529-025-00454-2
NUC10,2025,institutional_publication_plus_conference,Ogasawara_Ryukyu_coastal,"C. boninense; C. brevicaule; indexed C. irimtiense; C. spinosum; C. maritimum","MIG-seq genome-wide reduced-representation markers",local_origin_study,"method and five-taxon comparison recovered; sample counts/genotype matrix/raw reads not recovered","links Ogasawara and Ryukyu/coastal focal lineages; C. maritimum exact Japan38 species overlap","already recovered in BONINENSE_MIGSEQ_PUBLIC_RECOVERY_2026-08-21 but not unified into phylogeny literature registry","retain as independent nuclear study with public-data blocker explicit","local origin hypothesis and comparator prioritization","summary does not expose topology, sample identities or reusable homologous locus matrix; cannot promote a common-locus tree tip",https://opac.ll.chiba-u.jp/da/curator/900123082/S24326291-9-P295.pdf
